Instance,HPBA,VNS
324_1,37.01,37.03
324_2,65.24,64.71
324_3,85.96,85.67
324_4,91.96,92.75
324_5,96.97,98.17
324_6,99.43,99.51
324_7,99.92,99.96
402_1,28.15,28.15
402_2,56.03,55.86
402_3,75.48,76.82
402_4,90.9,91.1
402_5,96.15,96.24
402_6,99.39,98.85
402_7,99.9,99.5
402_8,99.72,99.92
402_9,99.69,99.98
500_1,22.83,22.83
500_2,45.63,45.67
500_3,66.4,66.19
500_4,79.46,79.19
500_5,88.58,87.55
500_6,92.87,92.33
500_7,96.05,95.39
500_8,98.57,98.21
500_9,99.03,99.15
500_10,99.72,99.62
500_11,99.55,99.85
500_12,99.98,99.97
500_13,99.82,100
708_1,18.58,18.6
708_2,37.19,37.2
708_3,55.8,55.59
708_4,68.51,70.46
708_5,81.27,80.47
708_6,86.51,85.43
708_7,89.11,88.97
708_8,91.82,91.91
708_9,94.62,94.36
708_10,97.66,96.38
708_11,98.39,97.86
708_12,98.39,98.58
708_13,99.44,99.22
708_14,99.51,99.65
708_15,99.29,99.84
818_1,15.43,15.43
818_2,30.86,30.86
818_3,46.28,46.09
818_4,59.97,59.71
818_5,72,72.04
818_6,81,80.27
818_7,85.4,84.77
818_8,89.35,88.74
818_9,92.08,91.66
818_10,93.78,94.4
818_11,95.46,95.57
818_12,96.4,96.58
818_13,97.11,97.48
818_14,98.03,98.32
818_15,99.57,98.9
700_1,17.01,17.01
700_2,34.02,34.02
700_3,51.01,51.03
700_4,67.99,68.05
700_5,83.01,84.93
700_6,87.4,89.45
700_7,90.3,91.38
700_8,92.31,93.03
700_9,92.86,93.92
700_10,94.07,94.7
700_11,94.12,95.37
700_12,94.97,95.89
900_1,13.18,13.18
900_2,26.35,26.35
900_3,39.53,39.53
900_4,52.68,52.7
900_5,65.88,65.88
900_6,79.05,79.05
900_7,92.22,92.22
900_8,98.29,97.93
900_9,98.42,98.51
900_10,98.93,98.83
900_11,99.25,99.03
900_12,99.49,99.2
900_13,99.31,99.34
