Instance,HPBA,VNS
324_1,37.03,37.03
324_2,65.14,64.71
324_3,86.25,85.67
324_4,93.10,92.75
324_5,99.07,98.17
324_6,99.54,99.51
324_7,99.96,99.96
402_1,28.15,28.15
402_2,56.14,55.86
402_3,77.25,76.87
402_4,91.81,91.1
402_5,96.98,96.24
402_6,99.39,98.85
402_7,99.93,99.5
402_8,99.73,99.93
402_9,99.77,99.98
500_1,22.83,22.83
500_2,45.67,45.67
500_3,66.44,66.19
500_4,80.19,79.23
500_5,88.58,87.55
500_6,93.04,92.33
500_7,96.06,95.39
500_8,98.58,98.21
500_9,99.03,99.15
500_10,99.72,99.63
500_11,99.85,99.86
500_12,99.98,99.98
500_13,100,100
708_1,18.6,18.6
708_2,37.2,37.2
708_3,55.8,55.72
708_4,70.7,70.47
708_5,81.48,80.49
708_6,86.51,85.45
708_7,89.11,88.97
708_8,91.82,91.91
708_9,94.62,94.46
708_10,97.66,96.4
708_11,98.39,97.86
708_12,98.39,98.66
708_13,99.44,99.3
708_14,99.51,99.67
708_15,99.29,99.86
818_1,15.43,15.43
818_2,30.86,30.86
818_3,46.28,46.19
818_4,59.97,59.76
818_5,72,72.06
818_6,81,80.27
818_7,85.61,84.78
818_8,89.35,88.74
818_9,92.26,91.67
818_10,93.82,94.4
818_11,95.46,95.6
818_12,96.4,96.68
818_13,97.11,97.63
818_14,98.82,98.42
818_15,99.57,99.01
700_1,17.01,17.01
700_2,34.02,34.02
700_3,51.03,51.03
700_4,68.04,68.05
700_5,83.8,85.02
700_6,89.09,89.72
700_7,90.4,91.66
700_8,92.73,93.29
700_9,93.55,94.08
700_10,94.28,94.85
700_11,94.61,95.42
700_12,95.51,96.01
900_1,13.18,13.18
900_2,26.35,26.35
900_3,39.53,39.53
900_4,52.7,52.7
900_5,65.88,65.88
900_6,79.05,79.05
900_7,92.22,92.23
900_8,98.29,98.09
900_9,98.43,98.6
900_10,98.94,98.93
900_11,99.26,99.12
900_12,99.52,99.26
900_13,99.33,99.42
