,Unnamed: 0,Name,Seed Size,Time,Exact,desv,best
0,,1000_104034_117_social_0.sol,9,,,,
0,,1000_112621_129_social_0.sol,9,,,,
0,,1000_121207_141_social_0.sol,8,,,,
0,,1000_129793_153_social_0.sol,7,,,,
0,,1000_138379_165_social_0.sol,7,,,,
0,,1000_146966_179_social_0.sol,7,,,,
0,,1000_155552_192_social_0.sol,6,,,,
0,,1000_164138_206_social_0.sol,6,,,,
0,,1000_172724_222_social_0.sol,6,,,,
0,,1000_181311_237_social_0.sol,6,,,,
0,,1000_18172_18_social_0.sol,32,,,,
0,,1000_189897_254_social_0.sol,5,,,,
0,,1000_198483_273_social_0.sol,5,,,,
0,,1000_207069_292_social_0.sol,5,,,,
0,,1000_215656_314_social_0.sol,4,,,,
0,,1000_224242_339_social_0.sol,4,,,,
0,,1000_232828_368_social_0.sol,4,,,,
0,,1000_241414_407_social_0.sol,3,,,,
0,,1000_250000_500_social_0.sol,2,,,,
0,,1000_26758_27_social_0.sol,24,,,,
0,,1000_35344_36_social_0.sol,19,,,,
0,,1000_43931_46_social_0.sol,17,,,,
0,,1000_52517_55_social_0.sol,15,,,,
0,,1000_61103_65_social_0.sol,14,,,,
0,,1000_69689_75_social_0.sol,12,,,,
0,,1000_78276_85_social_0.sol,11,,,,
0,,1000_86862_96_social_0.sol,10,,,,
0,,1000_95448_106_social_0.sol,10,,,,
0,,1000_9586_9_social_0.sol,53,,,,
0,,1000_999_1_social_0.sol,134,,,,
0,,100_1010_11_social_0.sol,6,,,,
0,,100_1093_12_social_0.sol,5,,,,
0,,100_1176_13_social_0.sol,6,,,,
0,,100_1259_14_social_0.sol,5,,,,
0,,100_1341_15_social_0.sol,4,,,,
0,,100_1424_17_social_0.sol,5,,,,
0,,100_1507_18_social_0.sol,5,,,,
0,,100_1590_19_social_0.sol,4,,,,
0,,100_1673_21_social_0.sol,4,,,,
0,,100_1755_22_social_0.sol,4,,,,
0,,100_182_1_social_0.sol,4,,,,
0,,100_1838_24_social_0.sol,3,,,,
0,,100_1921_25_social_0.sol,4,,,,
0,,100_2004_27_social_0.sol,3,,,,
0,,100_2087_29_social_0.sol,3,,,,
0,,100_2169_31_social_0.sol,3,,,,
0,,100_2252_34_social_0.sol,3,,,,
0,,100_2335_37_social_0.sol,2,,,,
0,,100_2418_40_social_0.sol,2,,,,
0,,100_2500_50_social_0.sol,2,,,,
0,,100_265_2_social_0.sol,5,,,,
0,,100_348_3_social_0.sol,6,,,,
0,,100_431_4_social_0.sol,8,,,,
0,,100_513_5_social_0.sol,8,,,,
0,,100_596_6_social_0.sol,9,,,,
0,,100_679_7_social_0.sol,9,,,,
0,,100_762_8_social_0.sol,8,,,,
0,,100_845_9_social_0.sol,7,,,,
0,,100_927_10_social_0.sol,6,,,,
0,,100_99_1_social_0.sol,15,,,,
0,,10_11_1_social_0.sol,2,,,,
0,,10_11_1_social_1.sol,2,,,,
0,,10_11_1_social_2.sol,1,,,,
0,,10_13_1_social_0.sol,1,,,,
0,,10_13_1_social_1.sol,2,,,,
0,,10_13_1_social_2.sol,1,,,,
0,,10_15_1_social_0.sol,1,,,,
0,,10_15_1_social_1.sol,1,,,,
0,,10_15_1_social_2.sol,2,,,,
0,,10_17_2_social_0.sol,2,,,,
0,,10_17_2_social_1.sol,1,,,,
0,,10_17_2_social_2.sol,1,,,,
0,,10_18_2_social_0.sol,1,,,,
0,,10_18_2_social_1.sol,2,,,,
0,,10_18_2_social_2.sol,2,,,,
0,,10_20_2_social_0.sol,2,,,,
0,,10_20_2_social_1.sol,1,,,,
0,,10_20_2_social_2.sol,2,,,,
0,,10_22_3_social_0.sol,2,,,,
0,,10_22_3_social_1.sol,2,,,,
0,,10_22_3_social_2.sol,2,,,,
0,,10_24_4_social_0.sol,2,,,,
0,,10_24_4_social_1.sol,1,,,,
0,,10_24_4_social_2.sol,2,,,,
0,,10_25_5_social_0.sol,2,,,,
0,,10_25_5_social_1.sol,1,,,,
0,,10_25_5_social_2.sol,1,,,,
0,,10_9_1_social_0.sol,1,,,,
0,,10_9_1_social_1.sol,2,,,,
0,,10_9_1_social_2.sol,1,,,,
0,,15_14_1_social_0.sol,3,,,,
0,,15_16_1_social_0.sol,2,,,,
0,,15_17_1_social_0.sol,2,,,,
0,,15_19_1_social_0.sol,2,,,,
0,,15_20_1_social_0.sol,1,,,,
0,,15_22_1_social_0.sol,1,,,,
0,,15_23_1_social_0.sol,1,,,,
0,,15_25_1_social_0.sol,1,,,,
0,,15_26_2_social_0.sol,1,,,,
0,,15_28_2_social_0.sol,1,,,,
0,,15_29_2_social_0.sol,2,,,,
0,,15_30_2_social_0.sol,2,,,,
0,,15_32_2_social_0.sol,2,,,,
0,,15_33_2_social_0.sol,2,,,,
0,,15_35_2_social_0.sol,2,,,,
0,,15_36_3_social_0.sol,2,,,,
0,,15_38_3_social_0.sol,2,,,,
0,,15_39_3_social_0.sol,2,,,,
0,,15_41_3_social_0.sol,2,,,,
0,,15_42_3_social_0.sol,2,,,,
0,,15_43_3_social_0.sol,2,,,,
0,,15_45_4_social_0.sol,2,,,,
0,,15_46_4_social_0.sol,2,,,,
0,,15_48_4_social_0.sol,2,,,,
0,,15_49_4_social_0.sol,2,,,,
0,,15_51_5_social_0.sol,2,,,,
0,,15_52_5_social_0.sol,2,,,,
0,,15_54_6_social_0.sol,1,,,,
0,,15_55_6_social_0.sol,2,,,,
0,,15_56_7_social_0.sol,1,,,,
0,,200_10000_100_social_0.sol,2,,,,
0,,200_1213_6_social_0.sol,14,,,,
0,,200_1551_8_social_0.sol,12,,,,
0,,200_1889_9_social_0.sol,12,,,,
0,,200_199_1_social_0.sol,28,,,,
0,,200_2227_11_social_0.sol,10,,,,
0,,200_2565_13_social_0.sol,9,,,,
0,,200_2903_15_social_0.sol,10,,,,
0,,200_3241_17_social_0.sol,8,,,,
0,,200_3579_19_social_0.sol,8,,,,
0,,200_3917_22_social_0.sol,7,,,,
0,,200_4255_24_social_0.sol,7,,,,
0,,200_4593_26_social_0.sol,6,,,,
0,,200_4931_28_social_0.sol,6,,,,
0,,200_5269_31_social_0.sol,6,,,,
0,,200_537_2_social_0.sol,11,,,,
0,,200_5607_33_social_0.sol,5,,,,
0,,200_5945_36_social_0.sol,5,,,,
0,,200_6283_39_social_0.sol,5,,,,
0,,200_6621_41_social_0.sol,4,,,,
0,,200_6959_44_social_0.sol,4,,,,
0,,200_7297_48_social_0.sol,4,,,,
0,,200_7635_51_social_0.sol,4,,,,
0,,200_7973_54_social_0.sol,4,,,,
0,,200_8311_58_social_0.sol,3,,,,
0,,200_8649_63_social_0.sol,3,,,,
0,,200_875_4_social_0.sol,13,,,,
0,,200_8987_68_social_0.sol,3,,,,
0,,200_9325_74_social_0.sol,3,,,,
0,,200_9663_81_social_0.sol,2,,,,
0,,20_100_10_social_0.sol,2,,,,
0,,20_19_1_social_0.sol,3,,,,
0,,20_22_1_social_0.sol,2,,,,
0,,20_25_1_social_0.sol,2,,,,
0,,20_28_1_social_0.sol,2,,,,
0,,20_31_1_social_0.sol,2,,,,
0,,20_33_1_social_0.sol,3,,,,
0,,20_36_2_social_0.sol,2,,,,
0,,20_39_2_social_0.sol,2,,,,
0,,20_42_2_social_0.sol,2,,,,
0,,20_45_2_social_0.sol,2,,,,
0,,20_47_2_social_0.sol,2,,,,
0,,20_50_2_social_0.sol,2,,,,
0,,20_53_3_social_0.sol,3,,,,
0,,20_56_3_social_0.sol,3,,,,
0,,20_59_3_social_0.sol,2,,,,
0,,20_61_3_social_0.sol,3,,,,
0,,20_64_4_social_0.sol,3,,,,
0,,20_67_4_social_0.sol,3,,,,
0,,20_70_4_social_0.sol,2,,,,
0,,20_73_4_social_0.sol,2,,,,
0,,20_75_5_social_0.sol,3,,,,
0,,20_78_5_social_0.sol,3,,,,
0,,20_81_5_social_0.sol,2,,,,
0,,20_84_6_social_0.sol,2,,,,
0,,20_87_6_social_0.sol,2,,,,
0,,20_89_6_social_0.sol,2,,,,
0,,20_92_7_social_0.sol,1,,,,
0,,20_95_7_social_0.sol,1,,,,
0,,20_98_8_social_0.sol,2,,,,
0,,25_102_5_social_0.sol,3,,,,
0,,25_106_5_social_0.sol,3,,,,
0,,25_111_5_social_0.sol,3,,,,
0,,25_116_6_social_0.sol,2,,,,
0,,25_120_6_social_0.sol,2,,,,
0,,25_125_6_social_0.sol,3,,,,
0,,25_129_7_social_0.sol,2,,,,
0,,25_134_7_social_0.sol,2,,,,
0,,25_138_8_social_0.sol,2,,,,
0,,25_143_8_social_0.sol,2,,,,
0,,25_147_9_social_0.sol,2,,,,
0,,25_152_10_social_0.sol,2,,,,
0,,25_156_12_social_0.sol,2,,,,
0,,25_24_1_social_0.sol,3,,,,
0,,25_29_1_social_0.sol,3,,,,
0,,25_34_1_social_0.sol,2,,,,
0,,25_38_1_social_0.sol,2,,,,
0,,25_43_1_social_0.sol,2,,,,
0,,25_47_2_social_0.sol,2,,,,
0,,25_52_2_social_0.sol,2,,,,
0,,25_56_2_social_0.sol,3,,,,
0,,25_61_2_social_0.sol,3,,,,
0,,25_65_2_social_0.sol,3,,,,
0,,25_70_3_social_0.sol,3,,,,
0,,25_75_3_social_0.sol,4,,,,
0,,25_79_3_social_0.sol,3,,,,
0,,25_84_4_social_0.sol,2,,,,
0,,25_88_4_social_0.sol,3,,,,
0,,25_93_4_social_0.sol,3,,,,
0,,25_97_4_social_0.sol,3,,,,
0,,300_10252_39_social_0.sol,7,,,,
0,,300_1065_3_social_0.sol,17,,,,
0,,300_11017_42_social_0.sol,6,,,,
0,,300_11783_46_social_0.sol,6,,,,
0,,300_12548_50_social_0.sol,6,,,,
0,,300_13314_54_social_0.sol,5,,,,
0,,300_14079_58_social_0.sol,5,,,,
0,,300_14845_62_social_0.sol,5,,,,
0,,300_15611_67_social_0.sol,4,,,,
0,,300_16376_71_social_0.sol,4,,,,
0,,300_17142_76_social_0.sol,4,,,,
0,,300_17907_82_social_0.sol,4,,,,
0,,300_1831_6_social_0.sol,23,,,,
0,,300_18673_88_social_0.sol,4,,,,
0,,300_19438_94_social_0.sol,3,,,,
0,,300_20204_102_social_0.sol,3,,,,
0,,300_20969_110_social_0.sol,3,,,,
0,,300_21735_122_social_0.sol,3,,,,
0,,300_22500_150_social_0.sol,2,,,,
0,,300_2596_8_social_0.sol,18,,,,
